asd,name,year,properties,nonCurrentLiabilities,currentLiabbilities,equities,fullPrice,priceNextYear
10399,FAMOT,2017,74142,659,9388,148860,9377600.0,25500.0
4869,COGNOR,2012,41583,738,13688,106601,140200.0,119939300.0
7779,MERCATOR,2010,32046,1038,5461,80418,1159200.0,857700.0
7554,ZAMET,2006,12720,624,1914,37316,6026400.0,4073400.0
4437,KREZUS,2009,23851,1089,4068,69283,1168500.0,1159200.0
1441,BCHEM,2016,74044,751,10353,143526,313200.0,9377600.0
3764,NEPENTES,2012,41583,738,13688,106601,140200.0,119939300.0
1348,CERSANIT,2014,68630,687,10513,119065,911300.0,2932000.0
5948,WIRTUALNA,2012,41583,738,13688,106601,140200.0,119939300.0
8889,ADVGRUPA,2015,68095,661,7154,130446,2932000.0,313200.0
6657,CPGROUP,2006,12720,624,1914,37316,6026400.0,4073400.0
8781,CUBEITG,2011,35340,817,11266,94012,857700.0,140200.0
6408,GOBARTO,2017,74142,659,9388,148860,9377600.0,25500.0
8816,ALTERCO,2007,16086,610,2677,41013,4073400.0,618163200.0
3354,IDMSA,2005,12126,520,1723,30845,9262800.0,6026400.0
7567,ENERGA,2006,12720,624,1914,37316,6026400.0,4073400.0
5746,VOXEL,2005,12126,520,1723,30845,9262800.0,6026400.0
1823,ATMGRUPA,2008,24380,865,9160,48498,618163200.0,1168500.0
10637,PLATIGE,2008,24380,865,9160,48498,618163200.0,1168500.0
2892,IZNS,2011,35340,817,11266,94012,857700.0,140200.0
5206,CENTROZAP,2011,35340,817,11266,94012,857700.0,140200.0
6162,IDEON,2005,12126,520,1723,30845,9262800.0,6026400.0
7822,POLWAX,2014,68630,687,10513,119065,911300.0,2932000.0
1687,AMPLI,2015,68095,661,7154,130446,2932000.0,313200.0
3396,DOMDEV,2008,24380,865,9160,48498,618163200.0,1168500.0
7694,LIBET,2016,74044,751,10353,143526,313200.0,9377600.0
7879,PGSSOFT,2006,12720,624,1914,37316,6026400.0,4073400.0
1698,MENNICA,2013,62308,673,14845,119491,119939300.0,911300.0
9071,AVIASG,2015,68095,661,7154,130446,2932000.0,313200.0
7573,ENERGA,2012,41583,738,13688,106601,140200.0,119939300.0
103,BAUMA,2017,74142,659,9388,148860,9377600.0,25500.0
4730,CYFRPLSAT,2016,74044,751,10353,143526,313200.0,9377600.0
9292,NOKAUT,2015,68095,661,7154,130446,2932000.0,313200.0
7540,IBSM,2005,12126,520,1723,30845,9262800.0,6026400.0
9040,AGROWILL,2010,32046,1038,5461,80418,1159200.0,857700.0
17,GANT,2009,23851,1089,4068,69283,1168500.0,1159200.0
9884,DROSED,2009,23851,1089,4068,69283,1168500.0,1159200.0
2476,NOVITA,2011,35340,817,11266,94012,857700.0,140200.0
60,BUDOPOL,2013,62308,673,14845,119491,119939300.0,911300.0
7404,BENEFIT,2012,41583,738,13688,106601,140200.0,119939300.0
1270,MOSTALWAR,2014,68630,687,10513,119065,911300.0,2932000.0
2469,DEBICA,2017,74142,659,9388,148860,9377600.0,25500.0
2205,05VICT,2013,62308,673,14845,119491,119939300.0,911300.0
10609,GLOBALNRG,2006,12720,624,1914,37316,6026400.0,4073400.0
8520,EUCO,2010,32046,1038,5461,80418,1159200.0,857700.0
637,07NFI,2005,12126,520,1723,30845,9262800.0,6026400.0
3298,ZASTAL,2014,68630,687,10513,119065,911300.0,2932000.0
6928,RANKPROGR,2017,74142,659,9388,148860,9377600.0,25500.0
10704,POLMOSLBN,2010,32046,1038,5461,80418,1159200.0,857700.0
7225,BOGDANKA,2015,68095,661,7154,130446,2932000.0,313200.0
7170,ARCHICOM,2012,41583,738,13688,106601,140200.0,119939300.0
2131,BEEFSAN,2017,74142,659,9388,148860,9377600.0,25500.0
4388,QUMAKSEK,2012,41583,738,13688,106601,140200.0,119939300.0
10060,GPRD,2016,74044,751,10353,143526,313200.0,9377600.0
1807,INSTALKRK,2005,12126,520,1723,30845,9262800.0,6026400.0
3189,ERGIS,2009,23851,1089,4068,69283,1168500.0,1159200.0
3933,CENTKLIMA,2012,41583,738,13688,106601,140200.0,119939300.0
6878,PBKM,2006,12720,624,1914,37316,6026400.0,4073400.0
9330,DTP,2014,68630,687,10513,119065,911300.0,2932000.0
926,ENERGOPN,2008,24380,865,9160,48498,618163200.0,1168500.0
4233,MARVIPOL,2013,62308,673,14845,119491,119939300.0,911300.0
1821,ATMGRUPA,2006,12720,624,1914,37316,6026400.0,4073400.0
5447,POLJADLO,2005,12126,520,1723,30845,9262800.0,6026400.0
196,GETIN,2006,12720,624,1914,37316,6026400.0,4073400.0
8759,TXM,2015,68095,661,7154,130446,2932000.0,313200.0
9196,GLOBCITYHD,2010,32046,1038,5461,80418,1159200.0,857700.0
7744,IMPERA,2014,68630,687,10513,119065,911300.0,2932000.0
2951,ERG,2005,12126,520,1723,30845,9262800.0,6026400.0
8176,CZTOREBKA,2017,74142,659,9388,148860,9377600.0,25500.0
1671,SNIEZKA,2012,41583,738,13688,106601,140200.0,119939300.0
3994,EUROCASH,2008,24380,865,9160,48498,618163200.0,1168500.0
5079,PRIMAMODA,2014,68630,687,10513,119065,911300.0,2932000.0
476,09KWIAT,2013,62308,673,14845,119491,119939300.0,911300.0
5672,IQP,2009,23851,1089,4068,69283,1168500.0,1159200.0
1350,CERSANIT,2016,74044,751,10353,143526,313200.0,9377600.0
9713,GEKOPLAST,2007,16086,610,2677,41013,4073400.0,618163200.0
9609,TRASTYCHY,2007,16086,610,2677,41013,4073400.0,618163200.0
7716,INVISTA,2012,41583,738,13688,106601,140200.0,119939300.0
7858,JWWINVEST,2011,35340,817,11266,94012,857700.0,140200.0
2712,JUPITER,2013,62308,673,14845,119491,119939300.0,911300.0
5914,OPTEAM,2017,74142,659,9388,148860,9377600.0,25500.0
6049,MLSYSTEM,2009,23851,1089,4068,69283,1168500.0,1159200.0
3199,ONE2ONE,2006,12720,624,1914,37316,6026400.0,4073400.0
